"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"data1_selection",2231,1772,648,402,166,92,1451,1174,487,306,128,71,1961,1544,539,326,132,72
"data1_intersection",751,427,71,15,0,0,438,240,50,2,0,0,624,344,53,2,0,0
"data1_infeasible",1024,1021,842,626,349,240,0,0,0,0,0,0,675,672,493,277,0,0
"data2_selection",1828,1276,571,333,159,101,1185,831,368,223,93,52,1591,1078,431,247,103,56
"data2_intersection",751,427,71,15,0,0,438,240,50,2,0,0,624,344,53,2,0,0
"data2_infeasible",1024,1021,842,626,349,240,0,0,0,0,0,0,675,672,493,277,0,0
"data1_secretor_selection",2226,1744,682,383,139,76,1497,1226,508,292,94,49,1964,1518,568,316,98,50
"data1_secretor_intersection",994,608,36,4,0,0,617,422,16,0,0,0,838,493,16,0,0,0
"data1_secretor_infeasible",1024,1021,842,626,349,240,0,0,0,0,0,0,675,672,493,277,0,0
"data2_secretor_selection",1649,1151,596,350,140,55,1060,756,408,239,91,34,1427,964,469,259,95,34
"data2_secretor_intersection",994,608,36,4,0,0,617,422,16,0,0,0,838,493,16,0,0,0
"data2_secretor_infeasible",1024,1021,842,626,349,240,0,0,0,0,0,0,675,672,493,277,0,0
"background",3032,3032,2977,2838,2439,2097,2008,2008,2008,1964,1763,1560,2683,2683,2628,2489,2090,1768
"min.data_inter.secretor_inter",655,330,26,4,0,0,356,193,12,0,0,0,538,249,12,0,0,0
